Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,26,1461,1121,858,81,321,0,19,52,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft,26,1461,1121,858,81,321,0,19,52,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src,26,1461,1121,858,81,321,0,19,52,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main,23,1340,1030,790,81,291,0,19,52,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java,23,1340,1030,790,81,291,0,19,52,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\controller,4,185,136,103,3,47,0,2,8,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\main,4,72,54,46,0,18,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model,11,756,566,415,67,177,0,13,35,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\view,4,327,274,226,11,49,0,4,9,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\test,3,121,91,68,0,30,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\test\java,3,121,91,68,0,30,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\test\java\unitTest,3,121,91,68,0,30,0,0,0,0,0
